filenames,rsid,round,samples,zi,zf
D:\Ru\dab_images\Round1\Sample1\CC.ome_x21_y26.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x21_y27.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x21_y28.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x21_y29.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x21_y30.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x21_y31.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x21_y32.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x21_y33.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x21_y34.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x21_y4.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x21_y5.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x21_y6.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x21_y7.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x21_y8.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x21_y9.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x22_y10.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x22_y11.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x22_y12.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x22_y13.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x22_y14.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x22_y15.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x22_y16.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x22_y17.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x22_y18.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x22_y19.tif,1.01,Round1,Sample1,1,1
D:\Ru\dab_images\Round1\Sample1\CC.ome_x22_y20.tif,1.01,Round1,Sample1,1,1
