filenames,rsid,round,samples,zi,zf
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P2\Slide2_P2_MMStack_Pos-1-0.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P2\Slide2_P2_MMStack_Pos-1-1.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P2\Slide2_P2_MMStack_Pos-1-2.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P2\Slide2_P2_MMStack_Pos-2-0.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P2\Slide2_P2_MMStack_Pos-2-1.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P2\Slide2_P2_MMStack_Pos-2-2.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P3\Slide2_P3_MMStack_Pos-0-0.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P3\Slide2_P3_MMStack_Pos-0-1.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P3\Slide2_P3_MMStack_Pos-0-2.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P3\Slide2_P3_MMStack_Pos-1-0.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P3\Slide2_P3_MMStack_Pos-1-1.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P3\Slide2_P3_MMStack_Pos-1-2.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P3\Slide2_P3_MMStack_Pos-2-0.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P3\Slide2_P3_MMStack_Pos-2-1.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample2\Slide2_P3\Slide2_P3_MMStack_Pos-2-2.ome.tif,1.02,Round1,Sample2,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample3\Slide3_P1\Slide3_P1_MMStack_Pos-0-0.ome.tif,1.03,Round1,Sample3,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample3\Slide3_P1\Slide3_P1_MMStack_Pos-0-1.ome.tif,1.03,Round1,Sample3,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample3\Slide3_P1\Slide3_P1_MMStack_Pos-0-2.ome.tif,1.03,Round1,Sample3,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample3\Slide3_P1\Slide3_P1_MMStack_Pos-1-0.ome.tif,1.03,Round1,Sample3,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample3\Slide3_P1\Slide3_P1_MMStack_Pos-1-1.ome.tif,1.03,Round1,Sample3,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample3\Slide3_P1\Slide3_P1_MMStack_Pos-1-2.ome.tif,1.03,Round1,Sample3,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample3\Slide3_P1\Slide3_P1_MMStack_Pos-2-0.ome.tif,1.03,Round1,Sample3,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample3\Slide3_P1\Slide3_P1_MMStack_Pos-2-1.ome.tif,1.03,Round1,Sample3,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample3\Slide3_P1\Slide3_P1_MMStack_Pos-2-2.ome.tif,1.03,Round1,Sample3,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample3\Slide3_P2\Slide3_P2_MMStack_Pos-0-0.ome.tif,1.03,Round1,Sample3,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample3\Slide3_P2\Slide3_P2_MMStack_Pos-0-1.ome.tif,1.03,Round1,Sample3,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample3\Slide3_P2\Slide3_P2_MMStack_Pos-0-2.ome.tif,1.03,Round1,Sample3,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample3\Slide3_P2\Slide3_P2_MMStack_Pos-1-0.ome.tif,1.03,Round1,Sample3,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample3\Slide3_P2\Slide3_P2_MMStack_Pos-1-1.ome.tif,1.03,Round1,Sample3,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample3\Slide3_P2\Slide3_P2_MMStack_Pos-1-2.ome.tif,1.03,Round1,Sample3,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample3\Slide3_P2\Slide3_P2_MMStack_Pos-2-0.ome.tif,1.03,Round1,Sample3,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample3\Slide3_P2\Slide3_P2_MMStack_Pos-2-1.ome.tif,1.03,Round1,Sample3,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample3\Slide3_P2\Slide3_P2_MMStack_Pos-2-2.ome.tif,1.03,Round1,Sample3,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample3\Slide3_P3\Slide3_P2_3_MMStack_Pos-0-0.ome.tif,1.03,Round1,Sample3,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample3\Slide3_P3\Slide3_P2_3_MMStack_Pos-0-1.ome.tif,1.03,Round1,Sample3,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample3\Slide3_P3\Slide3_P2_3_MMStack_Pos-0-2.ome.tif,1.03,Round1,Sample3,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample3\Slide3_P3\Slide3_P2_3_MMStack_Pos-1-0.ome.tif,1.03,Round1,Sample3,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample3\Slide3_P3\Slide3_P2_3_MMStack_Pos-1-1.ome.tif,1.03,Round1,Sample3,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample3\Slide3_P3\Slide3_P2_3_MMStack_Pos-1-2.ome.tif,1.03,Round1,Sample3,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample3\Slide3_P3\Slide3_P2_3_MMStack_Pos-2-0.ome.tif,1.03,Round1,Sample3,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample3\Slide3_P3\Slide3_P2_3_MMStack_Pos-2-1.ome.tif,1.03,Round1,Sample3,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample3\Slide3_P3\Slide3_P2_3_MMStack_Pos-2-2.ome.tif,1.03,Round1,Sample3,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample4\Slide4_P1\Slide4_P1_MMStack_Pos-0-0.ome.tif,1.04,Round1,Sample4,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample4\Slide4_P1\Slide4_P1_MMStack_Pos-0-1.ome.tif,1.04,Round1,Sample4,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample4\Slide4_P1\Slide4_P1_MMStack_Pos-0-2.ome.tif,1.04,Round1,Sample4,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample4\Slide4_P1\Slide4_P1_MMStack_Pos-1-0.ome.tif,1.04,Round1,Sample4,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample4\Slide4_P1\Slide4_P1_MMStack_Pos-1-1.ome.tif,1.04,Round1,Sample4,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample4\Slide4_P1\Slide4_P1_MMStack_Pos-1-2.ome.tif,1.04,Round1,Sample4,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample4\Slide4_P1\Slide4_P1_MMStack_Pos-2-0.ome.tif,1.04,Round1,Sample4,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample4\Slide4_P1\Slide4_P1_MMStack_Pos-2-1.ome.tif,1.04,Round1,Sample4,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample4\Slide4_P1\Slide4_P1_MMStack_Pos-2-2.ome.tif,1.04,Round1,Sample4,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample4\Slide4_P2\Slide4_P2_MMStack_Pos-0-0.ome.tif,1.04,Round1,Sample4,4,13
D:\Emma\20221110_Biscutella_data\Round1\Sample4\Slide4_P2\Slide4_P2_MMStack_Pos-0-1.ome.tif,1.04,Round1,Sample4,4,13
