filenames,rsid,zi,zf,Name of person
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample7\240222_sample7_3\240222_sample7_3_MMStack_26-Pos000_000.ome.tif,2.07,1,14,Luc
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample7\240222_sample7_3\240222_sample7_3_MMStack_26-Pos000_001.ome.tif,2.07,3,17,Luc
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample7\240222_sample7_3\240222_sample7_3_MMStack_26-Pos000_002.ome.tif,2.07,4,17,Luc
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample7\240222_sample7_3\240222_sample7_3_MMStack_26-Pos001_000.ome.tif,2.07,1,16,Luc
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample7\240222_sample7_3\240222_sample7_3_MMStack_26-Pos001_001.ome.tif,2.07,3,17,Luc
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample7\240222_sample7_3\240222_sample7_3_MMStack_26-Pos001_002.ome.tif,2.07,5,17,Luc
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample7\240222_sample7_3\240222_sample7_3_MMStack_26-Pos002_000.ome.tif,2.07,2,17,Luc
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample7\240222_sample7_3\240222_sample7_3_MMStack_26-Pos002_001.ome.tif,2.07,3,17,Luc
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample7\240222_sample7_3\240222_sample7_3_MMStack_26-Pos002_002.ome.tif,2.07,7,17,Luc
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample8\240222_sample8_1\240222_sample8_1_MMStack_27-Pos000_000.ome.tif,2.08,1,14,Becs
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample8\240222_sample8_1\240222_sample8_1_MMStack_27-Pos000_001.ome.tif,2.08,1,15,Becs
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample8\240222_sample8_1\240222_sample8_1_MMStack_27-Pos000_002.ome.tif,2.08,1,17,Becs
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample8\240222_sample8_1\240222_sample8_1_MMStack_27-Pos001_000.ome.tif,2.08,1,14,Becs
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample8\240222_sample8_1\240222_sample8_1_MMStack_27-Pos001_001.ome.tif,2.08,2,16,Becs
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample8\240222_sample8_1\240222_sample8_1_MMStack_27-Pos001_002.ome.tif,2.08,1,17,Becs
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample8\240222_sample8_1\240222_sample8_1_MMStack_27-Pos002_000.ome.tif,2.08,1,14,Becs
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample8\240222_sample8_1\240222_sample8_1_MMStack_27-Pos002_001.ome.tif,2.08,1,15,Becs
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample8\240222_sample8_1\240222_sample8_1_MMStack_27-Pos002_002.ome.tif,2.08,1,17,Becs
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample8\240222_sample8_2\240222_sample8_2_MMStack_28-Pos000_000.ome.tif,2.08,1,17,Becs
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample8\240222_sample8_2\240222_sample8_2_MMStack_28-Pos000_001.ome.tif,2.08,1,17,Becs
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample8\240222_sample8_2\240222_sample8_2_MMStack_28-Pos000_002.ome.tif,2.08,3,17,Becs
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample8\240222_sample8_2\240222_sample8_2_MMStack_28-Pos001_000.ome.tif,2.08,2,17,Becs
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample8\240222_sample8_2\240222_sample8_2_MMStack_28-Pos001_001.ome.tif,2.08,2,17,Becs
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample8\240222_sample8_2\240222_sample8_2_MMStack_28-Pos001_002.ome.tif,2.08,3,17,Becs
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample8\240222_sample8_2\240222_sample8_2_MMStack_28-Pos002_000.ome.tif,2.08,1,17,Becs
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample8\240222_sample8_2\240222_sample8_2_MMStack_28-Pos002_002.ome.tif,2.08,3,17,Becs
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample8\240222_sample8_3\240222_sample8_3_MMStack_29-Pos000_000.ome.tif,2.08,1,11,Becs
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample8\240222_sample8_3\240222_sample8_3_MMStack_29-Pos000_001.ome.tif,2.08,1,12,Becs
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample8\240222_sample8_3\240222_sample8_3_MMStack_29-Pos000_002.ome.tif,2.08,1,13,Becs
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample8\240222_sample8_3\240222_sample8_3_MMStack_29-Pos001_000.ome.tif,2.08,1,10,Becs
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample8\240222_sample8_3\240222_sample8_3_MMStack_29-Pos001_001.ome.tif,2.08,1,11,Becs
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample8\240222_sample8_3\240222_sample8_3_MMStack_29-Pos001_002.ome.tif,2.08,1,14,Becs
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample8\240222_sample8_3\240222_sample8_3_MMStack_29-Pos002_000.ome.tif,2.08,1,10,Becs
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample8\240222_sample8_3\240222_sample8_3_MMStack_29-Pos002_001.ome.tif,2.08,1,14,Becs
D:\Becs\Becs_pilot_data\Pilot - Week1 Round2\sample8\240222_sample8_3\240222_sample8_3_MMStack_29-Pos002_002.ome.tif,2.08,1,15,Becs
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample10\Sample10_02\Sample10_02_MMStack_6-Pos000_000.ome.tif,3.1,1,17,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample10\Sample10_02\Sample10_02_MMStack_6-Pos000_001.ome.tif,3.1,1,11,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample10\Sample10_02\Sample10_02_MMStack_6-Pos000_002.ome.tif,3.1,1,3,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample10\Sample10_02\Sample10_02_MMStack_6-Pos001_000.ome.tif,3.1,1,15,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample10\Sample10_02\Sample10_02_MMStack_6-Pos001_001.ome.tif,3.1,1,12,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample10\Sample10_02\Sample10_02_MMStack_6-Pos001_002.ome.tif,3.1,1,10,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample10\Sample10_02\Sample10_02_MMStack_6-Pos002_000.ome.tif,3.1,1,17,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample10\Sample10_02\Sample10_02_MMStack_6-Pos002_001.ome.tif,3.1,1,12,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample10\Sample10_02\Sample10_02_MMStack_6-Pos002_002.ome.tif,3.1,1,8,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample10\Sample10_03\Sample10_03_MMStack_7-Pos000_000.ome.tif,3.1,1,17,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample10\Sample10_03\Sample10_03_MMStack_7-Pos000_001.ome.tif,3.1,1,17,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample10\Sample10_03\Sample10_03_MMStack_7-Pos000_002.ome.tif,3.1,1,17,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample10\Sample10_03\Sample10_03_MMStack_7-Pos001_000.ome.tif,3.1,1,17,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample10\Sample10_03\Sample10_03_MMStack_7-Pos001_001.ome.tif,3.1,1,17,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample10\Sample10_03\Sample10_03_MMStack_7-Pos001_002.ome.tif,3.1,1,17,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample10\Sample10_03\Sample10_03_MMStack_7-Pos002_000.ome.tif,3.1,1,17,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample10\Sample10_03\Sample10_03_MMStack_7-Pos002_001.ome.tif,3.1,1,17,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample10\Sample10_03\Sample10_03_MMStack_7-Pos002_002.ome.tif,3.1,1,17,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample10\Sample10_05\Sample10_05_MMStack_8-Pos000_000.ome.tif,3.1,1,17,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample10\Sample10_05\Sample10_05_MMStack_8-Pos000_001.ome.tif,3.1,1,17,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample10\Sample10_05\Sample10_05_MMStack_8-Pos000_002.ome.tif,3.1,1,17,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample10\Sample10_05\Sample10_05_MMStack_8-Pos001_000.ome.tif,3.1,1,17,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample10\Sample10_05\Sample10_05_MMStack_8-Pos001_001.ome.tif,3.1,1,17,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample10\Sample10_05\Sample10_05_MMStack_8-Pos001_002.ome.tif,3.1,1,17,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample10\Sample10_05\Sample10_05_MMStack_8-Pos002_000.ome.tif,3.1,1,17,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample10\Sample10_05\Sample10_05_MMStack_8-Pos002_001.ome.tif,3.1,1,17,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample10\Sample10_05\Sample10_05_MMStack_8-Pos002_002.ome.tif,3.1,1,16,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample11\Sample11_01\Sample11_01_MMStack_9-Pos000_000.ome.tif,3.11,1,17,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample11\Sample11_01\Sample11_01_MMStack_9-Pos000_001.ome.tif,3.11,3,17,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample11\Sample11_01\Sample11_01_MMStack_9-Pos000_002.ome.tif,3.11,6,17,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample11\Sample11_01\Sample11_01_MMStack_9-Pos001_000.ome.tif,3.11,1,17,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample11\Sample11_01\Sample11_01_MMStack_9-Pos001_001.ome.tif,3.11,1,17,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample11\Sample11_01\Sample11_01_MMStack_9-Pos001_002.ome.tif,3.11,5,17,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample11\Sample11_01\Sample11_01_MMStack_9-Pos002_000.ome.tif,3.11,2,17,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample11\Sample11_01\Sample11_01_MMStack_9-Pos002_001.ome.tif,3.11,5,17,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample11\Sample11_01\Sample11_01_MMStack_9-Pos002_002.ome.tif,3.11,4,17,Angèle
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample11\Sample11_02\Sample11_02_MMStack_10-Pos000_000.ome.tif,3.11,2,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample11\Sample11_02\Sample11_02_MMStack_10-Pos000_001.ome.tif,3.11,3,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample11\Sample11_02\Sample11_02_MMStack_10-Pos000_002.ome.tif,3.11,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample11\Sample11_02\Sample11_02_MMStack_10-Pos001_000.ome.tif,3.11,2,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample11\Sample11_02\Sample11_02_MMStack_10-Pos001_001.ome.tif,3.11,3,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample11\Sample11_02\Sample11_02_MMStack_10-Pos001_002.ome.tif,3.11,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample11\Sample11_02\Sample11_02_MMStack_10-Pos002_000.ome.tif,3.11,2,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample11\Sample11_02\Sample11_02_MMStack_10-Pos002_001.ome.tif,3.11,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample11\Sample11_02\Sample11_02_MMStack_10-Pos002_002.ome.tif,3.11,3,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample11\Sample11_03\Sample11_03_MMStack_11-Pos000_000.ome.tif,3.11,2,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample11\Sample11_03\Sample11_03_MMStack_11-Pos000_001.ome.tif,3.11,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample11\Sample11_03\Sample11_03_MMStack_11-Pos000_002.ome.tif,3.11,3,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample11\Sample11_03\Sample11_03_MMStack_11-Pos001_000.ome.tif,3.11,2,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample11\Sample11_03\Sample11_03_MMStack_11-Pos001_001.ome.tif,3.11,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample11\Sample11_03\Sample11_03_MMStack_11-Pos001_002.ome.tif,3.11,2,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample11\Sample11_03\Sample11_03_MMStack_11-Pos002_000.ome.tif,3.11,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample11\Sample11_03\Sample11_03_MMStack_11-Pos002_001.ome.tif,3.11,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample11\Sample11_03\Sample11_03_MMStack_11-Pos002_002.ome.tif,3.11,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample12\Sample12_01\Sample12_01_MMStack_12-Pos000_000.ome.tif,3.12,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample12\Sample12_01\Sample12_01_MMStack_12-Pos000_001.ome.tif,3.12,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample12\Sample12_01\Sample12_01_MMStack_12-Pos000_002.ome.tif,3.12,2,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample12\Sample12_01\Sample12_01_MMStack_12-Pos001_000.ome.tif,3.12,1,16,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample12\Sample12_01\Sample12_01_MMStack_12-Pos001_001.ome.tif,3.12,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample12\Sample12_01\Sample12_01_MMStack_12-Pos001_002.ome.tif,3.12,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample12\Sample12_01\Sample12_01_MMStack_12-Pos002_000.ome.tif,3.12,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample12\Sample12_01\Sample12_01_MMStack_12-Pos002_001.ome.tif,3.12,1,15,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample12\Sample12_01\Sample12_01_MMStack_12-Pos002_002.ome.tif,3.12,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample12\Sample12_02\Sample12_02_MMStack_13-Pos000_000.ome.tif,3.12,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample12\Sample12_02\Sample12_02_MMStack_13-Pos000_001.ome.tif,3.12,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample12\Sample12_02\Sample12_02_MMStack_13-Pos000_002.ome.tif,3.12,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample12\Sample12_02\Sample12_02_MMStack_13-Pos001_000.ome.tif,3.12,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample12\Sample12_02\Sample12_02_MMStack_13-Pos001_001.ome.tif,3.12,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample12\Sample12_02\Sample12_02_MMStack_13-Pos001_002.ome.tif,3.12,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample12\Sample12_02\Sample12_02_MMStack_13-Pos002_000.ome.tif,3.12,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample12\Sample12_02\Sample12_02_MMStack_13-Pos002_001.ome.tif,3.12,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample12\Sample12_02\Sample12_02_MMStack_13-Pos002_002.ome.tif,3.12,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample12\Sample12_03\Sample12_03_MMStack_14-Pos000_000.ome.tif,3.12,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample12\Sample12_03\Sample12_03_MMStack_14-Pos000_001.ome.tif,3.12,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample12\Sample12_03\Sample12_03_MMStack_14-Pos000_002.ome.tif,3.12,3,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample12\Sample12_03\Sample12_03_MMStack_14-Pos001_000.ome.tif,3.12,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample12\Sample12_03\Sample12_03_MMStack_14-Pos001_001.ome.tif,3.12,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample12\Sample12_03\Sample12_03_MMStack_14-Pos001_002.ome.tif,3.12,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample12\Sample12_03\Sample12_03_MMStack_14-Pos002_000.ome.tif,3.12,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample12\Sample12_03\Sample12_03_MMStack_14-Pos002_001.ome.tif,3.12,2,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample12\Sample12_03\Sample12_03_MMStack_14-Pos002_002.ome.tif,3.12,2,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample13\sample13_3_1\sample13_3_1_MMStack_Default.ome.tif,3.13,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample13\sample13_4_1\sample13_4_1_MMStack_Default.ome.tif,3.13,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample14\sample14_01_1\sample14_01_1_MMStack_Default.ome.tif,3.14,1,12,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample14\sample14_02_1\sample14_02_1_MMStack_Default.ome.tif,3.14,1,15,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample14\sample14_03_1\sample14_03_1_MMStack_Default.ome.tif,3.14,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample15\sample15_2\sample15_2_MMStack_Default.ome.tif,3.15,1,15,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample15\sample15_3\sample15_3_MMStack_Default.ome.tif,3.15,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample16\sample16_1\sample16_1_MMStack_Default.ome.tif,3.16,1,14,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample16\sample16_2\sample16_2_MMStack_Default.ome.tif,3.16,1,10,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample16\sample16_3\sample16_3_MMStack_Default.ome.tif,3.16,1,13,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample1\Sample1\Sample1_MMStack_1-Pos000_000.ome.tif,3.01,3,15,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample1\Sample1\Sample1_MMStack_1-Pos000_001.ome.tif,3.01,1,9,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample1\Sample1\Sample1_MMStack_1-Pos000_002.ome.tif,3.01,1,6,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample1\Sample1\Sample1_MMStack_1-Pos001_000.ome.tif,3.01,1,14,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample1\Sample1\Sample1_MMStack_1-Pos001_001.ome.tif,3.01,1,8,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample1\Sample1\Sample1_MMStack_1-Pos001_002.ome.tif,3.01,1,7,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample1\Sample1\Sample1_MMStack_1-Pos002_000.ome.tif,3.01,1,11,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample1\Sample1\Sample1_MMStack_1-Pos002_001.ome.tif,3.01,1,11,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample1\Sample1\Sample1_MMStack_1-Pos002_002.ome.tif,3.01,1,6,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample1\Sample1_2\Sample1_2_MMStack_2-Pos000_000.ome.tif,3.01,3,11,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample1\Sample1_2\Sample1_2_MMStack_2-Pos000_001.ome.tif,3.01,1,11,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample1\Sample1_2\Sample1_2_MMStack_2-Pos000_002.ome.tif,3.01,1,10,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample1\Sample1_2\Sample1_2_MMStack_2-Pos001_000.ome.tif,3.01,3,16,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample1\Sample1_2\Sample1_2_MMStack_2-Pos001_001.ome.tif,3.01,1,12,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample1\Sample1_2\Sample1_2_MMStack_2-Pos001_002.ome.tif,3.01,1,9,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample1\Sample1_2\Sample1_2_MMStack_2-Pos002_000.ome.tif,3.01,1,14,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample1\Sample1_2\Sample1_2_MMStack_2-Pos002_002.ome.tif,3.01,1,10,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample1\Sample1_3\Sample1_3_MMStack_3-Pos000_000.ome.tif,3.01,2,13,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample1\Sample1_3\Sample1_3_MMStack_3-Pos000_001.ome.tif,3.01,1,9,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample1\Sample1_3\Sample1_3_MMStack_3-Pos000_002.ome.tif,3.01,1,9,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample1\Sample1_3\Sample1_3_MMStack_3-Pos001_000.ome.tif,3.01,1,14,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample1\Sample1_3\Sample1_3_MMStack_3-Pos001_001.ome.tif,3.01,1,11,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample1\Sample1_3\Sample1_3_MMStack_3-Pos001_002.ome.tif,3.01,1,9,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample1\Sample1_3\Sample1_3_MMStack_3-Pos002_001.ome.tif,3.01,1,9,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample1\Sample1_3\Sample1_3_MMStack_3-Pos002_002.ome.tif,3.01,1,8,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample2\Sample2_2\Sample2_2_MMStack_1-Pos000_000.ome.tif,3.02,3,15,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample2\Sample2_2\Sample2_2_MMStack_1-Pos001_000.ome.tif,3.02,1,11,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample2\Sample2_4\Sample2_4_MMStack_2-Pos000_000.ome.tif,3.02,4,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample2\Sample2_4\Sample2_4_MMStack_2-Pos000_001.ome.tif,3.02,1,14,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample2\Sample2_4\Sample2_4_MMStack_2-Pos000_002.ome.tif,3.02,1,15,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample2\Sample2_4\Sample2_4_MMStack_2-Pos001_000.ome.tif,3.02,1,14,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample2\Sample2_4\Sample2_4_MMStack_2-Pos001_001.ome.tif,3.02,1,14,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample2\Sample2_4\Sample2_4_MMStack_2-Pos001_002.ome.tif,3.02,1,12,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample2\Sample2_4\Sample2_4_MMStack_2-Pos002_000.ome.tif,3.02,1,13,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample2\Sample2_4\Sample2_4_MMStack_2-Pos002_001.ome.tif,3.02,1,11,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample2\Sample2_4\Sample2_4_MMStack_2-Pos002_002.ome.tif,3.02,1,10,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample2\Sample2_5\Sample2_5_MMStack_3-Pos000_000.ome.tif,3.02,3,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample2\Sample2_5\Sample2_5_MMStack_3-Pos000_001.ome.tif,3.02,4,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample2\Sample2_5\Sample2_5_MMStack_3-Pos000_002.ome.tif,3.02,4,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample2\Sample2_5\Sample2_5_MMStack_3-Pos001_000.ome.tif,3.02,1,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample2\Sample2_5\Sample2_5_MMStack_3-Pos001_001.ome.tif,3.02,2,17,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample2\Sample2_5\Sample2_5_MMStack_3-Pos001_002.ome.tif,3.02,3,15,Jonathan
D:\Becs\Becs_pilot_data\Pilot - Week2 Round3\Sample2\Sample2_5\Sample2_5_MMStack_3-Pos002_000.ome.tif,3.02,1,15,Jonathan
