filenames,rsid,round,samples,zi,zf
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Sample_2\Sample_2_MMStack_Pos-1-2.ome.tif,1.02,Round1,Sample_2,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Sample_2\Sample_2_MMStack_Pos-2-0.ome.tif,1.02,Round1,Sample_2,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Sample_2\Sample_2_MMStack_Pos-2-1.ome.tif,1.02,Round1,Sample_2,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Sample_2\Sample_2_MMStack_Pos-2-2.ome.tif,1.02,Round1,Sample_2,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Sample_3\Sample_3_MMStack_Pos-0-0.ome.tif,1.03,Round1,Sample_3,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Sample_3\Sample_3_MMStack_Pos-0-1.ome.tif,1.03,Round1,Sample_3,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Sample_3\Sample_3_MMStack_Pos-0-2.ome.tif,1.03,Round1,Sample_3,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Sample_3\Sample_3_MMStack_Pos-1-0.ome.tif,1.03,Round1,Sample_3,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Sample_3\Sample_3_MMStack_Pos-1-1.ome.tif,1.03,Round1,Sample_3,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Sample_3\Sample_3_MMStack_Pos-1-2.ome.tif,1.03,Round1,Sample_3,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Sample_3\Sample_3_MMStack_Pos-2-0.ome.tif,1.03,Round1,Sample_3,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Sample_3\Sample_3_MMStack_Pos-2-1.ome.tif,1.03,Round1,Sample_3,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Sample_3\Sample_3_MMStack_Pos-2-2.ome.tif,1.03,Round1,Sample_3,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Sample_4\Sample_4_MMStack_Pos-0-0.ome.tif,1.04,Round1,Sample_4,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Sample_4\Sample_4_MMStack_Pos-0-1.ome.tif,1.04,Round1,Sample_4,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Sample_4\Sample_4_MMStack_Pos-0-2.ome.tif,1.04,Round1,Sample_4,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Sample_4\Sample_4_MMStack_Pos-1-0.ome.tif,1.04,Round1,Sample_4,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Sample_4\Sample_4_MMStack_Pos-1-1.ome.tif,1.04,Round1,Sample_4,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Sample_4\Sample_4_MMStack_Pos-1-2.ome.tif,1.04,Round1,Sample_4,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Sample_4\Sample_4_MMStack_Pos-2-0.ome.tif,1.04,Round1,Sample_4,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Sample_4\Sample_4_MMStack_Pos-2-1.ome.tif,1.04,Round1,Sample_4,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round1\Sample_4\Sample_4_MMStack_Pos-2-2.ome.tif,1.04,Round1,Sample_4,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Neg_no_primary_actual_5\Neg_no_primary_actual_MMStack_Pos-0-0.ome.tif,2.05,Round2,Neg_no_primary_actual_5,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Neg_no_primary_actual_5\Neg_no_primary_actual_MMStack_Pos-0-1.ome.tif,2.05,Round2,Neg_no_primary_actual_5,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Neg_no_primary_actual_5\Neg_no_primary_actual_MMStack_Pos-0-2.ome.tif,2.05,Round2,Neg_no_primary_actual_5,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Neg_no_primary_actual_5\Neg_no_primary_actual_MMStack_Pos-1-0.ome.tif,2.05,Round2,Neg_no_primary_actual_5,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Neg_no_primary_actual_5\Neg_no_primary_actual_MMStack_Pos-1-1.ome.tif,2.05,Round2,Neg_no_primary_actual_5,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Neg_no_primary_actual_5\Neg_no_primary_actual_MMStack_Pos-1-2.ome.tif,2.05,Round2,Neg_no_primary_actual_5,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Neg_no_primary_actual_5\Neg_no_primary_actual_MMStack_Pos-2-0.ome.tif,2.05,Round2,Neg_no_primary_actual_5,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Neg_no_primary_actual_5\Neg_no_primary_actual_MMStack_Pos-2-1.ome.tif,2.05,Round2,Neg_no_primary_actual_5,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Neg_no_primary_actual_5\Neg_no_primary_actual_MMStack_Pos-2-2.ome.tif,2.05,Round2,Neg_no_primary_actual_5,5,37
D:\Jonathan\Mouse KO Oxford 3 (Sept 2022)\Round2\Neg_no_secondary_actual_6\Neg_no_secondary_actual_MMStack_Pos-0-0.ome.tif,2.06,Round2,Neg_no_secondary_actual_6,5,37
